UCINumeric,SourceCountryCode,SourceNumericCode,SourceLongName,Source,Deprecated
368,LIT,368,Lithuania,Polity,0
368,LTU,,Republic of Lithuania,WDI,0
369,,1183,UKRAINE,CNTS,0
369,UKR,369,Ukraine,COW,0
369,,,Ukraine,fh,0
369,,945,Ukraine,IAU,0
369,UKR,,Ukraine,ISO,0
369,,178,Ukraine,Norris,0
369,UKR,369,Ukraine,Polity,0
369,UKR,,Ukraine,WDI,0
370,,75,BELARUS,CNTS,0
370,BLR,370,Belarus,COW,0
370,,,Belarus,fh,0
370,,922,Belarus,IAU,0
370,BLR,,Belarus,ISO,0
370,,16,Belarus,Norris,0
370,BLR,370,Belarus,Polity,0
370,BLR,,Republic of Belarus,WDI,0
371,,45,ARMENIA,CNTS,0
371,ARM,371,Armenia,COW,0
371,,,Armenia,fh,0
371,,920,Armenia,IAU,0
371,ARM,,Armenia,ISO,0
371,,8,Armenia,Norris,0
371,ARM,371,Armenia,Polity,0
371,ARM,,Republic of Armenia,WDI,0
372,,415,GEORGIA,CNTS,0
372,GRG,372,Georgia,COW,0
372,,,Georgia,fh,0
372,,928,Georgia,IAU,0
372,GEO,,Georgia,ISO,0
372,,63,Georgia,Norris,0
372,GRG,372,Georgia,Polity,0
372,GEO,,Georgia,WDI,0
373,,64,AZERBAIJAN,CNTS,0
373,AZE,373,Azerbaijan,COW,0
373,,,Azerbaijan,fh,0
373,,921,Azerbaijan,IAU,0
373,AZE,,Azerbaijan,ISO,0
373,,11,Azerbaijan,Norris,0
373,AZE,373,Azerbaijan,Polity,0
373,AZE,,Republic of Azerbaijan,WDI,0
375,,380,FINLAND,CNTS,0
375,FIN,375,Finland,COW,0
375,,,Finland,fh,0
375,,1159,Finland,IAU,0
375,FIN,,Finland,ISO,0
375,,59,Finland,Norris,0
375,FIN,375,Finland,Polity,0
375,FIN,,Republic of Finland,WDI,0
380,,1092,SWEDEN,CNTS,0
380,SWD,380,Sweden,COW,0
380,,,Sweden,fh,0
380,,1181,Sweden,IAU,0
380,SWE,,Sweden,ISO,0
380,,163,Sweden,Norris,0
380,SWD,380,Sweden,Polity,0
380,SWE,,Kingdom of Sweden,WDI,0
385,,1091,NORWAY,CNTS,0
385,NOR,385,Norway,COW,0
385,,,Norway,fh,0
385,,1175,Norway,IAU,0
385,NOR,,Norway,ISO,0
385,,128,Norway,Norris,0
385,NOR,385,Norway,Polity,0
385,NOR,,Kingdom of Norway,WDI,0
390,,320,DENMARK,CNTS,0
390,DEN,390,Denmark,COW,0
390,,,Denmark,fh,0
390,,1157,Denmark,IAU,0
390,DNK,,Denmark,ISO,0
390,,47,Denmark,Norris,0
390,DEN,390,Denmark,Polity,0
390,DNK,,Kingdom of Denmark,WDI,0
395,,510,ICELAND,CNTS,0
395,ICE,395,Iceland,COW,0
395,,,Iceland,fh,0
395,,1167,Iceland,IAU,0
395,ISL,,Iceland,ISO,0
395,,75,Iceland,Norris,0
395,ISL,,Republic of Iceland,WDI,0
402,,185,C VERDE IS,CNTS,0
402,CAP,402,Cape Verde,COW,0
402,,,Cape Verde,fh,0
402,CPV,,Cape Verde,ISO,0
402,,32,Cape Verde,Norris,0
402,CAP,402,Cape Verde,Polity,0
402,CPV,,Republic of Cabo Verde,WDI,0
403,,985,SAO TOME/PR,CNTS,0
403,STP,403,Sao Tome and Principe,COW,0
403,,,Sao Tome & Principe,fh,0
403,STP,,Sao Tome and Principe,ISO,0
403,,145,Sao Tome,Norris,0
403,STP,,Democratic Republic of S?£o Tom?© and Principe,WDI,0
404,,475,GUINEA-B'AU,CNTS,0
404,GNB,404,Guinea-Bissau,COW,0
404,,,Guinea-Bissau,fh,0
404,GNB,,Guinea-Bissau,ISO,0
404,,69,Guinea-Bis,Norris,0
404,GNB,404,Guinea-Bissau,Polity,0
404,GNB,,Republic of Guinea-Bissau,WDI,0
411,,355,EQUA GUINEA,CNTS,0
411,EQG,411,Equatorial Guinea,COW,0
411,,,Equatorial Guinea,fh,0
411,GNQ,,Equatorial Guinea,ISO,0
411,,54,Equatorial,Norris,0
411,EQG,411,Equatorial Guinea,Polity,0
411,GNQ,,Republic of Equatorial Guinea,WDI,0
420,,410,GAMBIA,CNTS,0
420,GAM,420,Gambia,COW,0
420,,,"Gambia, The",fh,0
420,GMB,,Gambia,ISO,0
420,,62,Gambia,Norris,0
420,GAM,420,Gambia,Polity,0
420,GMB,,Republic of The Gambia,WDI,0
427,,427,PRUSSIA,CNTS,0
427,GMY,255,Prussia,Polity,1
432,,770,MALI,CNTS,0
432,MLI,432,Mali,COW,0
432,,,Mali,fh,0
432,MLI,,Mali,ISO,0
432,,107,Mali,Norris,0
432,MLI,432,Mali,Polity,0
432,MLI,,Republic of Mali,WDI,0
433,,1000,SENEGAL,CNTS,0
433,SEN,433,Senegal,COW,0
433,,,Senegal,fh,0
433,,1042,Senegal,IAU,0
433,SEN,,Senegal,ISO,0
433,,147,Senegal,Norris,0
433,SEN,433,Senegal,Polity,0
